time,energy
0.2004990577697754,0.0
0.22153878211975098,0.0
0.24269700050354004,0.0
0.26344990730285645,0.0
0.28433847427368164,0.0
0.3048546314239502,0.0
0.3260316848754883,0.0
0.3470642566680908,0.0
0.36808204650878906,0.0
0.3887810707092285,0.0
0.40985703468322754,0.0
0.43051695823669434,0.0
0.45154452323913574,0.0
0.4721643924713135,0.0
0.4928443431854248,0.0
0.513871431350708,0.0
0.5346698760986328,0.0
0.5557284355163574,0.0
0.5769102573394775,0.0
0.5978195667266846,0.0
0.6188931465148926,0.0
0.6399531364440918,0.0
0.6610190868377686,0.0
0.6818921566009521,0.0
0.7029149532318115,0.0
0.7237036228179932,0.0
0.7447893619537354,0.0
0.7654159069061279,0.0
0.7864177227020264,0.0
0.8070471286773682,0.0
0.8281121253967285,0.0
0.8487224578857422,0.0
0.8694090843200684,0.0
0.8900096416473389,0.0
0.9111130237579346,0.0
0.9321908950805664,0.0
0.9527590274810791,0.0
0.9733476638793945,0.0
0.9944207668304443,0.0
1.0153203010559082,0.0
1.0363478660583496,0.0
1.0573782920837402,0.0
1.0784735679626465,0.0
1.0990493297576904,0.0
1.1197969913482666,0.0
1.140826940536499,0.0
1.1619763374328613,0.0
1.1828410625457764,0.0
1.2039663791656494,0.0
1.2247874736785889,0.0
1.245661973953247,0.0
1.266880989074707,0.0
1.2879042625427246,0.0
1.3089215755462646,0.0
1.3301036357879639,0.0
1.3511502742767334,0.0
1.3722329139709473,0.0
1.3932733535766602,0.0
1.4139420986175537,0.0
1.4345531463623047,0.0
1.4552948474884033,0.0
1.4763360023498535,0.0
1.4970097541809082,0.0
1.5181937217712402,0.0
1.5392117500305176,0.0
1.5597851276397705,0.0
1.5808935165405273,0.0
1.6014485359191895,0.0
1.6220111846923828,0.0
1.6425533294677734,0.0
1.663156270980835,0.0
1.6838693618774414,0.0
1.7048897743225098,0.0
1.7255585193634033,0.0
1.7463676929473877,0.0
1.767388105392456,0.0
1.7882227897644043,0.0
1.8092734813690186,0.0
1.829960823059082,0.0
1.8505332469940186,0.0
1.8710823059082031,0.0
1.891883373260498,0.0
1.9129090309143066,0.0
1.9336490631103516,0.0
1.9545707702636719,0.0
1.9754242897033691,0.0
1.9961731433868408,0.0
2.0168650150299072,0.0
2.037938117980957,0.0
2.0586001873016357,0.0
2.079664468765259,0.0
2.1006922721862793,0.0
2.121779203414917,0.0
2.1428182125091553,0.0
2.163546562194824,0.0
2.184633255004883,0.0
2.2052175998687744,0.0
2.2262682914733887,0.0
2.2470874786376953,0.0
2.267974853515625,0.0
2.2891077995300293,0.0
2.3097052574157715,0.0
2.3302886486053467,0.0
2.350851535797119,0.0
2.37137770652771,0.0
2.392078399658203,0.0
2.4127302169799805,0.0
2.4333040714263916,0.0
2.4543747901916504,0.0
2.475198268890381,0.0
2.496285915374756,0.0
2.5171515941619873,0.0
2.537811517715454,0.0
2.5584876537323,0.0
2.5791804790496826,0.0
2.6002004146575928,0.0
2.6207220554351807,0.0
2.6412436962127686,0.0
2.6619341373443604,0.0
2.6826364994049072,0.0
2.703571319580078,0.0
2.724635601043701,0.0
2.745699644088745,0.0
2.7667341232299805,0.0
2.787461042404175,0.0
2.808098554611206,0.0
2.82869291305542,0.0
2.8492798805236816,0.0
2.8698415756225586,0.0
2.890474796295166,0.0
2.9114110469818115,0.0
2.931994915008545,0.0
2.952554225921631,0.0
2.9733028411865234,0.0
2.994255781173706,0.0
3.014806032180786,0.0
3.035445213317871,0.0
3.0564866065979004,0.0
3.0770726203918457,0.0
3.097893476486206,0.0
3.1189863681793213,0.0
3.1400201320648193,0.0
3.161059856414795,0.0
3.181903123855591,0.0
3.203001022338867,0.0
3.2240264415740967,0.0
3.2447028160095215,0.0
3.2657251358032227,0.0
3.286465644836426,0.0
3.3072938919067383,0.0
3.3278744220733643,0.0
3.3489487171173096,0.0
3.370149850845337,0.0
3.390770196914673,0.0
3.4117980003356934,0.0
3.4324800968170166,0.0
3.4532630443573,0.0
3.47409987449646,0.0
3.494647264480591,0.0
3.5157530307769775,0.0
3.5367748737335205,0.0
3.5578110218048096,0.0
3.578397274017334,0.0
3.59907603263855,0.0
3.620244264602661,0.0
3.6407675743103027,0.0
3.6612977981567383,0.0
3.6823322772979736,0.0
3.70287823677063,0.0
3.7239012718200684,0.0
3.744922399520874,0.0
3.7654995918273926,0.0
3.7865824699401855,0.0
3.807443380355835,0.0
3.8280935287475586,0.0
3.8491170406341553,0.0
3.8699193000793457,0.0
3.8907129764556885,0.0
3.911306619644165,0.0
3.9319751262664795,0.0
3.9531493186950684,0.0
3.9741921424865723,0.0
3.9949350357055664,0.0
4.01564359664917,0.0
4.0363311767578125,0.0
4.057355880737305,0.0
4.078506708145142,0.0
4.099532604217529,0.0
4.120233535766602,0.0
4.141067743301392,0.0
4.162215232849121,0.0
4.182919263839722,0.0
4.203685283660889,0.0
4.224778175354004,0.0
4.245365858078003,0.0
4.266037464141846,0.0
4.28669285774231,0.0
4.30747652053833,0.0
4.328297853469849,0.0
4.34907603263855,0.0
4.370127439498901,0.0
4.390786647796631,0.0
4.411335468292236,0.0
4.432524681091309,0.0
4.453155517578125,0.0
4.4737138748168945,0.0
4.494810104370117,0.0
4.515582799911499,0.0
4.536262273788452,0.0
4.556881666183472,0.0
4.577842950820923,0.0
4.5988781452178955,0.0
4.619905471801758,0.0
4.640927791595459,0.0
4.661623477935791,0.0
4.6826746463775635,0.0
4.703430652618408,0.0
4.7244954109191895,0.0
4.745337724685669,0.0
4.766504526138306,0.0
4.787083864212036,0.0
4.807691335678101,0.0
4.828616380691528,0.0
4.849225759506226,0.0
4.870248079299927,0.0
4.8908867835998535,0.0
4.91170859336853,0.0
4.932329416275024,0.0
4.952954292297363,0.0
4.97397780418396,0.0
4.994844198226929,0.0
5.016008138656616,0.0
5.036675453186035,0.0
5.057228326797485,0.0
5.077870845794678,0.0
5.098536968231201,0.0
5.119219541549683,0.0
5.140278100967407,0.0
5.161064386367798,0.0
5.181740045547485,0.0
5.202779054641724,0.0
5.223808288574219,0.0
5.244510889053345,0.0
5.265134572982788,0.0
5.285901069641113,0.0
5.306872367858887,0.0
5.327925443649292,0.0
5.34867262840271,0.0
5.36977744102478,0.0
5.390566110610962,0.0
5.411648750305176,0.0
5.432284116744995,0.0
5.4529640674591064,0.0
5.474064111709595,0.0
5.494780540466309,0.0
5.515375852584839,0.0
5.5363993644714355,0.0
5.5571088790893555,0.0
5.5781941413879395,0.0
5.598957777023315,0.0
5.620010852813721,0.0
5.6410393714904785,0.0
5.661633253097534,0.0
5.682355165481567,0.0
5.703561782836914,0.0
5.7247583866119385,0.0
5.745791673660278,0.0
5.766770601272583,0.0
5.7876434326171875,0.0
5.808367729187012,0.0
5.828958034515381,0.0
5.850031852722168,0.0
5.8706865310668945,0.0
5.891339302062988,0.0
5.9119343757629395,0.0
5.93298077583313,0.0
5.953665256500244,0.0
5.974701881408691,0.0
